ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
"1019294","서울특별시교육청 정독도서관","03055","","","서울특별시 종로구 북촌로5길 48 ","37.5797611278","126.9832368815","정독도서관은 서울 종로구 북촌에 위치한 옛 경기고등학교 자리에 1977년 1월에 개관한 서울시립공공도서관이다. 49만 여권의 장서와 16 300여 점의 비도서 자료를 소장하고 있으며  부설 서울교육사료관에는 12 000여점의 교육 사료를 소장하고 있다. 도서 대출  자료실 및 열람실 이용 외에도 매월 작가초청 강연회와 사진전 그리고 독서회  인형극  음악회  댄스공연 등의 문화프로그램을 운영한다. 봄에는 정독도서관 주변으로 벚꽃이 만개하여 데이트 장소로 떠오르고 있으며 인근 삼청공원에서 삼청동 벚꽃축제가 열린다.","","대지 36,470㎡, 건물 13,247㎡ (3개동)","","[인문사회자연과학실, 어문학·족보실]<br>
평일 09:00 ~ 20:00<br>주말 09:00 ~ 17:00<br>
[어린이실, 청소년관, 다국어·연속간행물실, 디지털자료실, 서울교육박물관]
<br>평일 09:00 ~ 18:00<br>주말 09:00 ~ 17:00 <br>
[자율학습실, 노트북실]<br>
3월~10월(하절기): 7:00 - 22:00<br />
11월~2월(동절기): 8:00 - 22:00","[정기휴관일]<br>매월 첫째, 셋째 수요일,일요일을 제외한 법정공휴일<br>(공휴일과 일요일이 겹칠 경우, 휴관)<br> [임시휴관일]<br>도서관 사정으로 임시로 정하는 휴일","무료","","","가능 (44대)<br>※ 대형버스 25인승 초과 차량 주차 불가","무료주차<br>확인자에 한하여 60분까지 무료(1일 1회에 한함)<br>60분 후 5분 초과 시마다 190원씩 가산<br>
※ 주차할인<br>장애인 스티커부착<br>국가 유공자 증서 소지자 80%할인<br>경차 50% 할인 등<br>
※ 이용시간 : 07:00~22:30<br>","없음","","없음","체험프로그램:작가초청 강연회 / 사진전 / 독서회
"
"1019327","긱 라이브하우스","04057","","","서울특별시 마포구 신촌로10길 7 (동교동) ","37.5564379211","126.9320588728","긱 라이브하우스는 대한민국 인디 문화와 그 맥을 함께 해 온 홍대 거리의 라이브클럽이다. 공연 위주의 전문 클럽으로  2003년 2월 프로 뮤지션들이 뜻을 모아 만든 인디씬의 성지이다. 프로 뮤지션들이 주축이 된 만큼 무대  음향  조명 시설 모두 수준급이다. 인디밴드의 기획 공연은 물론  프로에서 아마추어 대관 공연에 이르기까지 폭넓고 다양한 공연이 펼쳐지는 것이 특징이다. 좌석과 스탠딩 모두 합쳐 150여 명이 동시 수용되며 하루에 3~4팀의 인디밴드 공연을 감상할 수 있다.
한국 인디 음악의 현주소와 홍대 클럽 문화의 일면을 체험할 수 있는 곳으로 스트리밍 공연이 가능하도록 새로 단장하였다. 전문가 및 전문 장비를 보유하여 감각적이고 세련된 연출을 통한 새로운 경험을 제공한다. 음악 콘텐츠 제작은 물론 온라인 강의  라이브 커머스 방송까지 가능한 다목적 공간으로 활용이 가능하다.","","","","공연 별로 상이함","공연 별로 상이함","공연 별로 상이함","","","불가능","","없음","","없음","소장품현황:디지털 콘솔 / 음향장비  / 조명 등 공연장비
사업내용:기획공연 / 대관공연 등
"
"1022196","명보아트홀","04549","","","서울특별시 중구 마른내로 47 (초동) ","37.5647463847","126.9932030652","서울의 중심 을지로3가에 위치한 명보아트홀은 반세기의 전통과 명성을 가진 (구)명보극장을 리모델링하여 2008년 재개관하였으며  현재는 전문공연장으로 이루어진 복합문화공간이다. 1957년 현대 문화의 대표적인 발상지로서 개관한 (구)명보극장으로 시작하여 글로벌 복합문화공간 도약의 비전을 목표로 세계적인 문화 콘텐츠 개발과 보급에 힘쓰고 있는 명보아트홀은 국내 대표 공연관광의 랜드마크가 되고자 기업과 문화의 융합을 바탕으로 상생의 새로운 사업모델을 구축하기 위하여 꾸준히 정진하고 있다.","","","- 라온홀 334석<br>- 다온홀 318석<br>- 가온홀 333석","10:30~18:00","연중무휴","공연 별로 상이함","","공연 별로 상이함","불가능","","없음","","없음","대관안내:* 대관 대상 : 뮤지컬  오페라  연극  콘서트  무용 등 공연을 목적으로 하는 공연예술단체<br />
* 대관 시설 : 명보아트홀 가온홀(354석) B3   하람홀(226석) 6F<br />
* 명보아트홀 홈페이지에서 대관신청서와 공연계획서 양식 다운로드<br />
* 대관문의 및 접수<br />
- 접수방법 : 우편 또는 직접 방문 접수 또는 이메일 접수<br />
- 대관문의 : 02-2274–2121 명보아트홀 공연사업부
"
"1022243","롤링홀","04048","","","서울특별시 마포구 어울마당로 35 (서교동) ","37.5485497360","126.9201324048","10년간 홍대라이브클럽 운영을 통하여 얻은 노하우를 바탕으로 다변화된 현문화시장에서 선진 공연문화를 정착해 나가며 대중과 예술인 사이의 거리를 좁히기 위해서 롤링홀을 설립하였다. 롤링홀은 국내외 유명 뮤지션부터 언더그라운드 뮤지션  인디밴드에 이르기까지 팝 음악에서부터 힙합  재즈 발라드  락까지 다양한 공연을 펼칠 수 있는 열린 공간이다. 무대와 객석이 하나가 되어 함께 즐길 수 있으며 뮤지션과 관객이 허물없이 함께 호흡할 수 있는 자유로운 공간이다. 홍대 라이브클럽의 자유로운 분위기를 한층 업그레이드된 시설 안에서 즐길 수 있으며  대규모 라이브 공연장에서 느낄 수 없는 친근하고 편안한 분위기의 공연을 즐길 수 있다. 최신 설비를 통하여 쾌적한 라이브환경을 조성하였으며  뛰어난 음향 시스템과 화려한 조명 시스템을 도입하여 양질의 공연을 펼치고 관람할 수 있도록 하였다. 사운드  조명  무대시설은 다양한 복합 문화공간으로 활용할 수 있도록 기획  시공되었다.","","","- 좌석 200석<br>- 스탠딩 500명","12:00~22:00<br>
※ 공연 별로 상이함","연중무휴<br>※ 공연 별로 상이함","공연 별로 상이함","","","불가능","","불가","","가능",""
"1113537","양천문화회관","08094","","","서울특별시 양천구 목동서로 367 ","37.5164580059","126.8633162653","양천문화재단에서 운영하고 있는 양천문화회관은 지역 주민들을 위한 문화예술 공간으로  양천구 문화의 중심지로 자리매김해 왔다. 다양한 공연과 전시  문화 프로그램을 통해 주민들에게 예술적 영감을 주고 있다. 현대적인 시설과 우수한 음향  조명 장비를 갖추고 있어 다양한 장르의 공연을 소화할 수 있다. 수준 높은 공연  축제  전시를 개발하여 양천구 문화의 새로운 가능성을 발견하고  지역문화진흥과 구민문화 향유의 구심점이 되고자 한다.","","","- 대극장 684석(층 478석 / 2층 206석)<br>- 해바라기홀 230석","- 평일 08:00~22:00<br>
- 주말 및 공휴일 09:00~22:00","연중무휴","시설 별로 상이함","","","가능","30분 무료 / 이후 10분 당 300원","없음","","가능",""
"129730","유니버설아트센터","04991","","","서울특별시 광진구 천호대로 664 (능동) ","37.5510746653","127.0872782179","재단법인 효정한국문화재단이 운영하고 있는 유니버설아트센터는 1981년 11월 리틀엔젤스예술회관으로 개관하여 다목적 문화예술공간으로 각광받다가 2007년 유니버설아트센터로 명칭을 변경하였다. 2009년 객석 리모델링을 통해 현재의 모습을 갖춘 후 최상의 공연을 즐길 수 있는 공연장으로 새 출발 하였다.
지상 4층 규모의 유니버설아트센터는 세월이 지나도 변치 않는 가치(Timeless Value)를 모토로 하여 유럽 오페라하우스 풍의 화려하고 클래식한 건축 인테리어로 독창성을 인정받고 있다. 특히  건축의 마지막 작업인 장식의 몰딩은 9개국의 몰딩 전문가 12명이 수작업을 통해 2년에 걸쳐 완공하여 국내 공연장으로서는 유일무이하게 그 견고한 아름다움을 자랑하고 있다.
주요 시설로는 국내에서 가장 아름다운 객석 경관을 갖춘 대극장  세미나 또는 만찬을 개최할 수 있는 루나홀  관객들이 한 동선에서 원스텝(one-step)으로 서비스를 받을 수 있는 메인 로비  클래식한 분위기의 카페  24개의 바톤과 메인 스테이지 및 사이드 스테이지를 갖춘 무대  80명의 아티스트를 수용할 수 있는 쾌적한 분장실 등을 갖추고 있다.
유니버설아트센터에는 세계 정상의 유니버설발레단  최고의 발레 교육 시스템을 갖춘 유니버설발레단 부설 발레 아카데미  노래하고 춤추는 외교사절 리틀엔젤스예술단  아티스트의 산실 선화예술학교가 있어 공연장  예술단체  예술교육기관이 함께 어우러져 참다운 예술 가치를 실현하고자 노력하고 있다.","","","- 대극장 1,082석(1층 572/ 발코니층 164석 / 2층 346석/ 휠체어석 10석)<br>- 루나홀 300명","공연 별로 상이함","매주 월요일","공연 별로 상이함","","공연에 따라 상이","가능 (약 150대)","[일반요금] 1시간 3,000원 / 10분당 500원<br>
[공연관객 할인요금]<br>
- 어린이 공연용 2시간 2,000원 <br>
- 성인 공연용 4시간 4,000원","없음","","가능","사업내용:공연 / 행사 / 영화 / CF촬영 / 패션쇼 / 카달록 촬영 등
"
"129742","롯데월드 가든스테이지","05554","","","서울특별시 송파구 올림픽로 240 (잠실동) ","37.5123821225","127.0976311526","롯데월드 가든스테이지는 롯데월드 내에 있는 공연장이다. 롯데월드의 중심에 자리 잡고 있으며  다양한 문화 행사와 공연이 진행된다. 음악회  댄스 공연  마술쇼 등 다양한 프로그램이 진행되며  계절마다 특별한 이벤트가 마련된다. 다채로운 공연은 관람객들에게 즐거운 경험을 선사한다. 롯데월드를 찾는 이들에게 특별한 경험을 선사하며  방문객들에게 잊지 못할 추억을 만들어준다.","","","52석","공연 별로 상이함<br>
※ 홈페이지 참조","연중무휴","롯데월드 입장 시 무료","","","가능 (5,400대)","종합이용권 이용 시 당일 3시간 무료","가능","","가능","사업내용:각종 공연 및 콘서트
"
"129749","한국의집","04626","","","서울특별시 중구 퇴계로36길 10 (필동2가) ","37.5602774831","126.9945141838","한국의집은 1957년 국내·외 귀빈을 위한 영빈관으로서 한국의 전통문화와 아름다움을 소개하기 위하여 설립되었다. 이후 대대적인 개·보수와 생생한 역사의 현장을 거쳐 현재 한국의집은 고품격 복합문화공간으로서 한국의 아름다운 전통문화를 보존 및 보급하고 있다. 전통한식  전통예술공연 등이 운영되고 있으며  비즈니스 행사나 촬영 등을 위한 대관장소로도 이용할 수 있다.
궁중음식 파인 다이닝에서는 조선왕조 궁중 및 반가음식을 기반으로 한 한정식 코스로 다채로운 한식을 고급스럽고 모던한 상차림으로 선보인다. 고풍스러운 한옥에서 품격 있는 한식의 향연을 만나볼 수 있다.
전통다과 고호재는 ‘옛 것을 좋아하는 이들의 집’이란 지닌 한국의집 프리미엄 궁중다과 브랜드이다. 1인 소반에 정성스레 차려낸 전통차와 제철 재료로 빚은 떡  한과 등의 다과상과 함께 일상의 달콤한 여유를 즐길 수 있다. 도심 속 한옥의 정취와 함께 전통다과의 깊은 맛을 경험할 수 있다.
1981년 창단한 국가유산진흥원 소속 예술단은 전 세계를 누비며 한국의 아름다움을 알려온 국내 최고 수준의 전통 무용단이다. 오랜 역사만큼이나 다채로운 공연 레퍼토리와 독보적인 기량으로 압도적인 예술무대를 선보인다. 고객의 요청사항에 맞게 공연 레퍼토리를 구성할 수 있다.
한국의집은 문화체육관광부와 한국관광공사가 선정한 ‘코리아 유니크 베뉴이다. 고유의 헤리티지를 보유한 한국의집은 한옥  한식  전통공연 등 다양한 문화유산 콘텐츠를 한곳에서 즐길 수 있는 공간으로 특별한 행사에 품격과 의미를 더한다. 비즈니스 모임 장소뿐만 아니라 영화  드라마  유튜브 등 다양한 목적을 위한 촬영장소로도 자주 이용되며  패션잡지  BTS 빌보드 매거진 커버 촬영도 이루어진 바 있는 촬영명소라고 할 수 있다. 

◎ 한류의 매력을 만나는 여행 정보
2018년  BTS가 메인 모델을 장식한 빌보드 매거진 커버 사진을 보면 배경의 고풍스러운 한옥 건물을 발견할 수 있다. 이곳은 한국문화재재단이 운영하는 전통문화 공간 ‘한국의집’이다. 한정식부터 전통문화체험  전통예술 공연 등 다양한 한국의 역사와 문화를 경험할 수 있는 공간으로 가장 한국적인 것이 무엇인지 궁금하다면  ‘한국의집’을 찾아가 볼 것을 추천한다.","","","민속극장 156석","- 주간 08:00~22:00<br>
- 야간 22:00~익일 08:00<br>
※ 위 시간은 대관 가능 시간임","매주 월요일 / 설·추석 연휴","","","","가능 (약 80대)","무료","없음","","가능","체험프로그램:
예약안내:
"
"129760","환기미술관","03020","","","서울특별시 종로구 자하문로40길 63 (부암동)","37.5940980426","126.9661269237","환기미술관은 1992년 11월 수화 김환기를 기리고 현대미술의 발전에 공헌하고자 건축가 우규승의 설계로 서울에 개관하였다. 한국현대미술을 대표하는 김환기의 예술세계를 널리 알리기 위해 매년 김환기 연구 특별기획전과 도록을 발간하고 있으며 ‘근현대작가 연구’  ‘수화가 만난 사람들’  ‘환기미술관 공간프로젝트’  ‘환기재단 작가전’과 같은 현대작가와 동시대 작가들 전시뿐만 아니라 ‘프리환기’ 공모전을 통하여 다양한 분야에서 활동하는 젊은 예술가들의 창작활동을 지원하고 있다. 또한 ‘치매어르신 예술프로그램’ ‘아트온’ ‘아트띵크’ 등과 같은 교육프로그램을 통해 시민사회를 위한 공공교육기관으로서의 역할도 담당하고 있다. 이는 예술가가 남긴 훌륭한 예술세계가 시간과 더불어 우리 문화유산으로 역사에 남는다는 설립자의 신념에서 출발한 것이다. 앞으로도 환기미술관은 기관의 미래 비전인 “예술로써 소통하는 사회로의 꿈”을 실현하기 위해 더욱 노력할 것이다.","","","","10:00~18:00","매주 월요일 / 1월 1일 / 설날·추석","※ 전시별 상이하므로 홈페이지 참고","","","가능","무료","없음","","없음","체험프로그램:전시연계 교육프로그램
"
"129811","국립고궁박물관","03045","","","서울특별시 종로구 효자로 12 (세종로) ","37.5766446750","126.9749904992","1992년 궁중유물전시관으로 설립되었다. 조선시대와 대한제국기의 격조 높은 왕실유물을 전시하여 조선왕조에 대한 올바른 이해와 역사관을 정립하고자 조선왕조 정궁인 경복궁과 연계한 문화 공간으로 조성되어 광복 60주년이던 2005년 8월 15일에 국립고궁박물관으로 명칭을 변경하였고   2007년 11월에 전면 개관하였다. 조선시대 최고 수준의 문화와 정신이 집약되어 있는 왕실 유물의 과학적이고 체계적인 보존과 복원을 통해 다양하고 시의성 있는 왕실 문화 전시를 기획하고  왕실 소장품을 꾸준히 확충하여 전시 유물을 확대해나가고 있다. 또한 왕실 문화를 주제로 한 다양한 교육 프로그램을 운영하고  국내‧외의 왕실 문화 기관과의 교류 활성화에도 많은 노력을 하고 있다. 이를 통해 품격 있는 왕실 문화유산의 의미를 관람객에게 전달하며 조선 왕실과 대한제국 황실의 가치를 전달하고자 한다.","","","","10:00~18:00<br>
※ 단, 수요일 / 토요일 10:00~21:00","1월 1일 / 설·추석 당일","무료","","","가능","","없음","","없음","체험프로그램:※ 일정 및 연령 별로 진행하는 프로그램이 상이하므로 자세한 사항은 홈페이지 참조
"
